Date	Price	
10/18/2013	59.05
10/21/2013	59
10/22/2013	59
10/23/2013	58.7
10/24/2013	57.55
10/25/2013	57.1
10/28/2013	57.5
10/29/2013	57.75
10/30/2013	57.9
10/31/2013	57.9
11/01/2013	57.6
11/04/2013	57.35
11/05/2013	56.8
11/06/2013	56.8
11/07/2013	56.65
11/08/2013	56.45
11/11/2013	56.3
11/12/2013	56.5
11/13/2013	55.75
11/14/2013	55.9
11/15/2013	56.15
11/18/2013	56.45
11/19/2013	56.8
11/20/2013	56.45
11/21/2013	55.45
11/22/2013	55.5
11/25/2013	56.25
11/26/2013	56.7
11/27/2013	57
11/28/2013	57.35
11/29/2013	57.55
12/02/2013	57.45
12/03/2013	57.5
12/04/2013	57.45
12/05/2013	57.1
12/06/2013	57.15
12/09/2013	57.65
12/10/2013	57.8
12/11/2013	57.85
12/12/2013	57.4
12/13/2013	57.35
12/16/2013	56.9
12/17/2013	57.2
12/18/2013	57
12/19/2013	57.35
12/20/2013	57.45
12/23/2013	57.85
12/24/2013	57.8
12/25/2013	57.85
12/26/2013	57.85
12/27/2013	58.3
12/30/2013	58.8
12/31/2013	58.7
01/02/2014	58.55
01/03/2014	57.85
01/06/2014	57.7
01/07/2014	57.7
01/08/2014	57.8
01/09/2014	57.55
01/10/2014	57.55
01/13/2014	57.9
01/14/2014	57.8
01/15/2014	58.4
01/16/2014	58.55
01/17/2014	58.65
01/20/2014	58.8
01/21/2014	58.55
01/22/2014	58.65
01/23/2014	58.5
01/24/2014	58.65
01/27/2014	57.6
02/05/2014	55.8
02/06/2014	56
02/07/2014	56.6
02/10/2014	56.6
02/11/2014	56.95
02/12/2014	57.55
02/13/2014	57.4
02/14/2014	57.95
02/17/2014	57.95
02/18/2014	58.15
02/19/2014	58.15
02/20/2014	57.65
02/21/2014	58.2
02/24/2014	57.9
02/25/2014	58.15
02/26/2014	58.4
02/27/2014	58.3
03/03/2014	57.95
03/04/2014	57.7
03/05/2014	58.3
03/06/2014	59.15
03/07/2014	59.4
03/10/2014	59.05
03/11/2014	59.35
03/12/2014	58.8
03/13/2014	59.75
03/14/2014	59.15
03/17/2014	59.05
03/18/2014	59.4
03/19/2014	59.25
03/20/2014	58.5
03/21/2014	58.5
03/24/2014	58.65
03/25/2014	59.15
03/26/2014	59.7
03/27/2014	59.8
03/28/2014	59.9
03/31/2014	60.1
04/01/2014	60.6
04/02/2014	60.8
04/03/2014	60.65
04/07/2014	60.5
04/08/2014	60.8
04/09/2014	61
04/10/2014	61.2
04/11/2014	61.15
04/14/2014	61.05
04/15/2014	61.35
04/16/2014	61.3
04/17/2014	61.15
04/18/2014	61.55
04/21/2014	61.55
04/22/2014	61.75
04/23/2014	61.65
04/24/2014	61.75
04/25/2014	60.7
04/28/2014	61.25
04/29/2014	61.35
04/30/2014	61
05/02/2014	61.3
05/05/2014	61.2
05/06/2014	61.55
05/07/2014	61.4
05/08/2014	61.85
05/09/2014	61.45
05/12/2014	61.15
05/13/2014	61.45
05/14/2014	61.8
05/15/2014	61.75
05/16/2014	61.85
05/19/2014	61.85
05/20/2014	62.1
05/21/2014	61.8
05/22/2014	62.65
05/23/2014	62.75
05/26/2014	63.05
05/27/2014	63.1
05/28/2014	63.7
05/29/2014	63.4
05/30/2014	63.1
06/03/2014	63.15
06/04/2014	63.4
06/05/2014	63.4
06/06/2014	63.55
06/09/2014	63.8
06/10/2014	64.2
06/11/2014	64.15
06/12/2014	64
06/13/2014	63.85
06/16/2014	63.9
06/17/2014	64.35
06/18/2014	64.5
06/19/2014	64.95
06/20/2014	64.75
06/23/2014	64.7
06/24/2014	64.8
06/25/2014	64.65
06/26/2014	65.35
06/27/2014	65.35
06/30/2014	65.95
07/01/2014	66.55
07/02/2014	67.1
07/03/2014	67.7
07/04/2014	67.7
07/07/2014	67.6
07/08/2014	67.75
07/09/2014	67.85
07/10/2014	68.35
07/11/2014	68.3
07/14/2014	68.7
07/15/2014	68.95
07/16/2014	68.35
07/17/2014	67.5
07/18/2014	67.5
07/21/2014	67.5
07/22/2014	68.1
07/24/2014	68.4
07/25/2014	67.65
07/28/2014	67.5
07/29/2014	67.45
07/30/2014	67.85
07/31/2014	66.75
08/01/2014	66.25
08/04/2014	66.6
08/05/2014	65.25
08/06/2014	65.7
08/07/2014	65.7
08/08/2014	65.7
08/11/2014	66.05
08/12/2014	66.1
08/13/2014	66.75
08/14/2014	67.1
08/15/2014	67.1
08/18/2014	66.9
08/19/2014	67.75
08/20/2014	68
08/21/2014	67.9
08/22/2014	68.75
08/25/2014	68.65
08/26/2014	68.6
08/27/2014	69.25
08/28/2014	69.35
08/29/2014	69.2
09/01/2014	69.8
09/02/2014	68.75
09/03/2014	69.25
09/04/2014	69
09/05/2014	69
09/09/2014	69.25
09/10/2014	68.65
09/11/2014	68.4
09/12/2014	67.75
09/15/2014	67.75
09/16/2014	67.2
09/17/2014	67.7
09/18/2014	67.85
09/19/2014	68
09/22/2014	66.95
09/23/2014	66.8
09/24/2014	66.55
09/25/2014	65.95
09/26/2014	65.6
09/29/2014	65.4
09/30/2014	65.3
10/01/2014	65.5
10/02/2014	65.5
10/03/2014	66.7
10/06/2014	66.65
10/07/2014	66.1
10/08/2014	65.7
10/09/2014	66
10/13/2014	64
10/14/2014	64.55
10/15/2014	64.1
10/16/2014	64
10/17/2014	63.35
10/20/2014	64.6
10/21/2014	64.3
10/22/2014	65.3
10/23/2014	65.05
10/24/2014	63.05
10/27/2014	63.25
10/28/2014	64.35
10/29/2014	65
10/30/2014	64.8
10/31/2014	65.3
11/03/2014	65.6
11/04/2014	65.65
11/05/2014	65.5
11/06/2014	65.1
11/07/2014	65.2
11/10/2014	66.15
11/11/2014	65.95
11/12/2014	65
11/13/2014	65.65
11/14/2014	65.7
11/17/2014	65.1
11/18/2014	64.9
11/19/2014	65.85
11/20/2014	66.6
11/21/2014	66.65
11/24/2014	66.8
11/25/2014	66.85
11/26/2014	66.85
11/27/2014	67.5
11/28/2014	67.5
12/01/2014	66.8
12/02/2014	65.8
12/03/2014	66.85
12/04/2014	67.1
12/05/2014	66.85
12/08/2014	66.35
12/09/2014	66.2
12/10/2014	65.3
12/11/2014	65.25
12/12/2014	65.3
12/15/2014	65.1
12/16/2014	64.55
12/17/2014	63.55
12/18/2014	63.7
12/19/2014	65.2
12/22/2014	66
12/23/2014	65.8
12/24/2014	66.3
12/25/2014	66.3
12/26/2014	66.45
12/29/2014	67.2
12/30/2014	66.85
12/31/2014	66.85
01/05/2015	66.55
01/06/2015	64.9
01/07/2015	65
01/08/2015	66.5
01/09/2015	66.15
01/12/2015	65.75
01/13/2015	65.95
01/14/2015	65.6
01/15/2015	65.8
01/16/2015	65.5
01/19/2015	66.25
01/20/2015	66.75
01/21/2015	67.25
01/22/2015	67.6
01/23/2015	68.7
01/26/2015	68.7
01/27/2015	69.15
01/28/2015	69.15
01/29/2015	68.3
01/30/2015	68
02/02/2015	68.15
02/03/2015	68.65
02/04/2015	69.4
02/05/2015	69.1
02/06/2015	68.75
02/09/2015	68.5
02/10/2015	68.25
02/11/2015	69
02/12/2015	69
02/13/2015	69.45
02/24/2015	70.25
02/25/2015	70.8
02/26/2015	70.3
03/02/2015	70
03/03/2015	69.9
03/04/2015	69.95
03/05/2015	69.7
03/06/2015	69.8
03/09/2015	69.1
03/10/2015	68.95
03/11/2015	69.05
03/12/2015	69.65
03/13/2015	69.45
03/16/2015	68.9
03/17/2015	69.15
03/18/2015	69.9
03/19/2015	70.65
03/20/2015	70.55
03/23/2015	70.75
03/24/2015	70.5
03/25/2015	70.25
03/26/2015	69.4
03/27/2015	68.75
03/30/2015	68.8
03/31/2015	69.05
04/01/2015	68.65
04/02/2015	69.5
04/07/2015	69.6
04/08/2015	69
04/09/2015	69.1
04/10/2015	69.65
04/13/2015	69.85
04/14/2015	69.5
04/15/2015	68.65
04/16/2015	69.7
04/17/2015	69.05
04/20/2015	68.95
04/21/2015	68.95
04/22/2015	69.65
04/23/2015	71.5
04/24/2015	72.2
04/27/2015	72.75
04/28/2015	72.6
04/29/2015	71.8
04/30/2015	71.45
05/04/2015	71.6
05/05/2015	71.2
05/06/2015	71.3
05/07/2015	70.45
05/08/2015	70.5
05/11/2015	70.85
05/12/2015	70.7
05/13/2015	71.1
05/14/2015	70.1
05/15/2015	70
05/18/2015	70.25
05/19/2015	71.3
05/20/2015	70.8
05/21/2015	70.15
05/22/2015	70.7
05/25/2015	70.7
05/26/2015	71
05/27/2015	71.15
05/28/2015	71.5
05/29/2015	71.1
06/01/2015	70.5
06/02/2015	70.4
06/03/2015	69.95
06/04/2015	68.6
06/05/2015	68.45
06/08/2015	68.9
06/09/2015	68.35
06/10/2015	68.65
06/11/2015	68.85
06/12/2015	68.8
06/15/2015	68.65
06/16/2015	68.2
06/17/2015	68.5
06/18/2015	68.4
06/22/2015	69.35
06/23/2015	69.55
06/24/2015	69.65
06/25/2015	70.45
06/26/2015	70.45
06/29/2015	68.8
06/30/2015	69.4
07/01/2015	70.05
07/02/2015	70.1
07/03/2015	70.1
07/06/2015	69.3
07/07/2015	69.6
07/08/2015	67.5
07/09/2015	67.1
07/13/2015	68.1
07/14/2015	68.1
07/15/2015	68.25
07/16/2015	68.6
07/17/2015	68.5
07/20/2015	68
07/21/2015	68.65
07/22/2015	67.8
07/23/2015	67.15
07/24/2015	66.75
07/27/2015	65.8
07/28/2015	65.85
07/29/2015	65.4
07/30/2015	66.5
07/31/2015	66.15
08/03/2015	65.25
08/04/2015	65.3
08/05/2015	65.7
08/06/2015	65
08/07/2015	64.7
08/10/2015	64.55
08/11/2015	64.55
08/12/2015	63.45
08/13/2015	63.55
08/14/2015	63.3
08/17/2015	62.9
